Id. ,ESRS,Exigence de publication (DR),Description de l'exigence de publication ,Paragraphe,Related AR,Nom,Question ,Précision des informations quantitatives,Type de données,DP conditionnel ou alternatif
2-MDRT-80b-1,ESRS 2,MDR-T,Suivi de l'efficacité des politiques et des actions au moyen de cibles,80 b,"AR 24 - 
AR 26",Objectif mesurable,Quel est l'objectif mesurable que vous avez défini ?,"Décimal : objectif mesurable spécifique avec une valeur numérique fixe, permettant une évaluation précise de l'atteinte de l'objectif: Exemple ""Réduire la consommation annuelle d'énergie de 10 000 kWh. Pourcentage: objectif exprimé en pourcentage, facilitant la compréhension des progrès relatis par rapport à une base de référence (p.ex. ""Réduire les émissions de CO2 de 15% d'ici 2025""). ",décimal/pourcentage/narratif,
2-MDRT-80d-1,ESRS 2,MDR-T,Suivi de l'efficacité des politiques et des actions au moyen de cibles,80 d  ,"AR 24 - 
AR 26",Valeur de référence,Quelle est la valeur de référence pour cet objectif ?,,entier,
2-MDRT-80d-2,ESRS 2,MDR-T,Suivi de l'efficacité des politiques et des actions au moyen de cibles,80 d  ,"AR 24 - 
AR 26",Année de référence,Quelle est l'année de référence pour cet objectif ?,,entier,
2-MDRT-81bii,ESRS 2,MDR-T,Suivi de l'efficacité des politiques et des actions au moyen de cibles,81 b ii,,Description du niveau d'ambition défini à atteindre et des indicateurs qualitatifs ou quantitatifs utilisés pour évaluer les progrès,Quel est le niveau d'ambition défini à atteindre et quels indicateurs qualitatifs ou quantitatifs sont utilisés pour évaluer les progrès ?,"Décrire le niveau d'ambition fixé pour les objectifs de durabilité et les indicateurs utilisés pour évaluer les progrès. Numérique: il faut présenter les indicateurs quantitatifs spécifiques. Ce data point est conditionnel, il doit être divulgiué si l'entreprise a défini des niveaux d'ambition et des indicateurs pour évaluer les progrès. ",narratif/numérique,Conditionnel
"2-MDRT-81bii,80d",ESRS 2,MDR-T,Suivi de l'efficacité des politiques et des actions au moyen de cibles,81 b ii  80 d,,Année de référence à partir de laquelle les progrès sont mesurés,Quelle est l'année de référence à partir de laquelle les progrès sont mesurés ?,,année,Conditionnel
E1-GOV3-13-2,E1, E1.GOV-3 ,Intégration des performances en matière de durabilité dans les mécanismes incitatifs,13,,Pourcentage de la rémunération reconnue liée aux considérations liées au climat,"Quel pourcentage de la rémunération des membres des organes administratifs, de gestion et de surveillance est directement lié aux considérations liées au climat ?",,pourcentage,
E1-1-16c-2,E1, E1-1 ,Plan de transition pour l'atténuation du changement climatique ,16c,,Ressources financières allouées au plan d'action (OpEx),Quels sont les montants des ressources financières (OpEx) allouées à la mise en œuvre de votre plan d'action climatique ?,,monétaire,
E1-1-16c-3,E1, E1-1 ,Plan de transition pour l'atténuation du changement climatique ,16c,,Ressources financières allouées au plan d'action (CapEx),Quels sont les montants des ressources financières (CapEx) allouées à la mise en œuvre de votre plan d'action climatique ?,,monétaire,
E1-1-16f-1,E1, E1-1 ,Plan de transition pour l'atténuation du changement climatique ,16f,AR 5,CapEx significatif pour les activités économiques liées au charbon,Quel est le montant significatif du CapEx alloué à vos activités économiques liées au charbon ?,,monétaire,Conditionnel
E1-1-16f-2,E1, E1-1 ,Plan de transition pour l'atténuation du changement climatique ,16f,AR 5,CapEx significatif pour les activités économiques liées au pétrole,Quel est le montant significatif du CapEx alloué à vos activités économiques liées au pétrole ?,,monétaire,Conditionnel
E1-1-16f-3,E1, E1-1 ,Plan de transition pour l'atténuation du changement climatique ,16f,AR 5,CapEx significatif pour les activités économiques liées au gaz,Quel est le montant significatif du CapEx alloué à vos activités économiques liées au gaz ?,,monétaire,Conditionnel
E1-1-17,E1, E1-1 ,Plan de transition pour l'atténuation du changement climatique ,17,,Date d'adoption du plan de transition pour les entreprises n'ayant pas encore adopté de plan de transition,Quelle est la date d'adoption du plan de transition pour les entreprises n'ayant pas encore adopté de plan de transition ?,,année,Conditionnel
E1-SBM3-19b-2,E1, E1.SBM-3 ,"Incidences, risques et opportunités importants et leur interaction avec la stratégie et le modèle économique",19b,AR 7a,Date de l'analyse de résilience,Quelle est la date de l'analyse de résilience ?,,date,
E1-3-29b-1,E1, E1-3,Actions et ressources en rapport avec les politiques en matière de changement climatique,29b,,Réductions des émissions de GES réalisées,Quelles réductions des émissions de GES ont été réalisées ?,,émissions de GES,
E1-3-29b-2,E1, E1-3,Actions et ressources en rapport avec les politiques en matière de changement climatique,29b,,Réductions des émissions de GES attendues,Quelles réductions des émissions de GES sont attendues ?,,émissions de GES,
"E1-4-34a,34b-1",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,AR 23-AR 24,"Tableaux : Dimensions multiples (année de référence et objectifs ; types de GES, catégories de Scope 3, leviers de décarbonisation, dénominateurs spécifiques à l'entité pour la valeur d'intensité)","Pouvez-vous fournir des tableaux avec des dimensions multiples incluant l'année de référence et les objectifs, les types de GES, les catégories de Scope 3, les leviers de décarbonisation, et les dénominateurs spécifiques à l'entité pour la valeur d'intensité ?",,tableau,Conditionnel
"E1-4-34a,34b-2",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,,Valeur absolue de la réduction totale des émissions de gaz à effet de serre,Quelle est la valeur absolue de la réduction totale des émissions de gaz à effet de serre ?,,tableau/émissions de GES,Conditionnel
"E1-4-34a,34b-3",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,,Pourcentage de la réduction totale des émissions de gaz à effet de serre (par rapport aux émissions de l'année de référence),Quel est le pourcentage de la réduction totale des émissions de gaz à effet de serre par rapport aux émissions de l'année de référence ?,,tableau/pourcentage,Conditionnel
"E1-4-34a,34b-4",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,,Valeur d'intensité de la réduction totale des émissions de gaz à effet de serre,Quelle est la valeur d'intensité de la réduction totale des émissions de gaz à effet de serre ?,,tableau/décimal,Conditionnel
"E1-4-34a,34b-5",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,,Valeur absolue de la réduction des émissions de gaz à effet de serre du Scope 1,Quelle est la valeur absolue de la réduction des émissions de gaz à effet de serre du Scope 1 ?,,tableau/émissions de GES,Conditionnel
"E1-4-34a,34b-6",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,,Pourcentage de la réduction des émissions de gaz à effet de serre du Scope 1 (par rapport aux émissions de l'année de référence),Quel est le pourcentage de la réduction des émissions de gaz à effet de serre du Scope 1 par rapport aux émissions de l'année de référence ?,,tableau/pourcentage,Conditionnel
"E1-4-34a,34b-7",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,,Valeur d'intensité de la réduction des émissions de gaz à effet de serre du Scope 1,Quelle est la valeur d'intensité de la réduction des émissions de gaz à effet de serre du Scope 1 ?,,tableau/décimal,Conditionnel
"E1-4-34a,34b-8",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,,Valeur absolue de la réduction des émissions de gaz à effet de serre du Scope 2 (basée sur la localisation),Quelle est la valeur absolue de la réduction des émissions de gaz à effet de serre du Scope 2 (basée sur la localisation) ?,,tableau/émissions de GES,Conditionnel
"E1-4-34a,34b-9",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,,Pourcentage de la réduction des émissions de gaz à effet de serre du Scope 2 (basée sur la localisation) (par rapport aux émissions de l'année de référence),Quel est le pourcentage de la réduction des émissions de gaz à effet de serre du Scope 2 (basée sur la localisation) par rapport aux émissions de l'année de référence ?,,tableau/pourcentage,Conditionnel
"E1-4-34a,34b-10",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,,Valeur d'intensité de la réduction des émissions de gaz à effet de serre du Scope 2 (basée sur la localisation),Quelle est la valeur d'intensité de la réduction des émissions de gaz à effet de serre du Scope 2 (basée sur la localisation) ?,,tableau/décimal,Conditionnel
"E1-4-34a,34b-11",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,,Valeur absolue de la réduction des émissions de gaz à effet de serre du Scope 2 (basée sur le marché),Quelle est la valeur absolue de la réduction des émissions de gaz à effet de serre du Scope 2 (basée sur le marché) ?,,tableau/émissions de GES,Conditionnel
"E1-4-34a,34b-12",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,,Pourcentage de la réduction des émissions de gaz à effet de serre du Scope 2 (basée sur le marché) (par rapport aux émissions de l'année de référence),Quel est le pourcentage de la réduction des émissions de gaz à effet de serre du Scope 2 (basée sur le marché) par rapport aux émissions de l'année de référence ?,,tableau/pourcentage,Conditionnel
"E1-4-34a,34b-13",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,,Valeur d'intensité de la réduction des émissions de gaz à effet de serre du Scope 2 (basée sur le marché),Quelle est la valeur d'intensité de la réduction des émissions de gaz à effet de serre du Scope 2 (basée sur le marché) ?,,tableau/décimal,Conditionnel
"E1-4-34a,34b-14",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,,Valeur absolue de la réduction des émissions de gaz à effet de serre du Scope 3,Quelle est la valeur absolue de la réduction des émissions de gaz à effet de serre du Scope 3 ?,,tableau/émissions de GES,Conditionnel
"E1-4-34a,34b-15",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,,Pourcentage de la réduction des émissions de gaz à effet de serre du Scope 3 (par rapport aux émissions de l'année de référence),Quel est le pourcentage de la réduction des émissions de gaz à effet de serre du Scope 3 par rapport aux émissions de l'année de référence ?,,tableau/pourcentage,Conditionnel
"E1-4-34a,34b-16",E1, E1-4 ,Cibles liées à l'atténuation du changement climatique et à l'adaptation à celui-ci,34a + 34 b,,Valeur d'intensité de la réduction des émissions de gaz à effet de serre du Scope 3,Quelle est la valeur d'intensité de la réduction des émissions de gaz à effet de serre du Scope 3 ?,,tableau/décimal,Conditionnel
E1-5-37,E1, E1-5,Consommation d'énergie et mix énergétique ,37,AR 35,Consommation totale d'énergie liée à ses propres opérations,Quelle est la consommation totale d'énergie liée à vos propres opérations ?,,énergie,
E1-5-37a,E1, E1-5,Consommation d'énergie et mix énergétique ,37a,AR 33,Consommation totale d'énergie provenant de sources fossiles,Quelle est la consommation totale d'énergie provenant de sources fossiles ?,,énergie,
E1-5-37b,E1, E1-5,Consommation d'énergie et mix énergétique ,37b,,Consommation totale d'énergie provenant de sources nucléaires,Quelle est la consommation totale d'énergie provenant de sources nucléaires ?,,énergie,
E1-5-AR34,E1, E1-5,Consommation d'énergie et mix énergétique ,AR 34,,Pourcentage de la consommation d'énergie provenant de sources nucléaires dans la consommation totale d'énergie,Quel est le pourcentage de la consommation d'énergie provenant de sources nucléaires dans la consommation totale d'énergie ?,,pourcentage,
E1-5-37c,E1, E1-5,Consommation d'énergie et mix énergétique ,37c,,Consommation totale d'énergie provenant de sources renouvelables,Quelle est la consommation totale d'énergie provenant de sources renouvelables ?,,énergie,
E1-5-37ci,E1, E1-5,Consommation d'énergie et mix énergétique ,37ci,,Consommation de carburant provenant de sources renouvelables,Quelle est la consommation de carburant provenant de sources renouvelables ?,,énergie,
E1-5-37cii,E1, E1-5,Consommation d'énergie et mix énergétique ,37cii,,"Consommation d'électricité, de chaleur, de vapeur et de refroidissement achetés ou acquis provenant de sources renouvelables","Quelle est la consommation d'électricité, de chaleur, de vapeur et de refroidissement achetés ou acquis provenant de sources renouvelables ?",,énergie,
E1-5-37ciii,E1, E1-5,Consommation d'énergie et mix énergétique ,37ciii,,Consommation d'énergie renouvelable non combustible auto-produite,Quelle est la consommation d'énergie renouvelable non combustible auto-produite ?,,énergie,
E1-5-AR34,E1, E1-5,Consommation d'énergie et mix énergétique ,AR 34,,Pourcentage de sources renouvelables dans la consommation totale d'énergie,Quel est le pourcentage de sources renouvelables dans la consommation totale d'énergie ?,,pourcentage,
E1-5-38a,E1, E1-5,Consommation d'énergie et mix énergétique ,38a,AR 33,Consommation de carburant provenant du charbon et des produits du charbon,Quelle est la consommation de carburant provenant du charbon et des produits du charbon ?,,énergie,Conditionnel
E1-5-38b,E1, E1-5,Consommation d'énergie et mix énergétique ,38b,AR 33,Consommation de carburant provenant du pétrole brut et des produits pétroliers,Quelle est la consommation de carburant provenant du pétrole brut et des produits pétroliers ?,,énergie,Conditionnel
E1-5-38c,E1, E1-5,Consommation d'énergie et mix énergétique ,38c,AR 33,Consommation de carburant provenant du gaz naturel,Quelle est la consommation de carburant provenant du gaz naturel ?,,énergie,Conditionnel
E1-5-38d,E1, E1-5,Consommation d'énergie et mix énergétique ,38d,AR 33,Consommation de carburant provenant d'autres sources fossiles,Quelle est la consommation de carburant provenant d'autres sources fossiles ?,,énergie,Conditionnel
E1-5-38e,E1, E1-5,Consommation d'énergie et mix énergétique ,38e,AR 33,"Consommation d'électricité, de chaleur, de vapeur ou de refroidissement achetés ou acquis provenant de sources fossiles","Quelle est la consommation d'électricité, de chaleur, de vapeur ou de refroidissement achetés ou acquis provenant de sources fossiles ?",,énergie,Conditionnel
E1-5-AR34,E1, E1-5,Consommation d'énergie et mix énergétique ,AR 34,,Pourcentage de sources fossiles dans la consommation totale d'énergie,Quel est le pourcentage de sources fossiles dans la consommation totale d'énergie ?,,pourcentage,Conditionnel
E1-5-39-1,E1, E1-5,Consommation d'énergie et mix énergétique ,39,,Production d'énergie non renouvelable,Quelle est la production d'énergie non renouvelable ?,,énergie,Conditionnel
E1-5-39-2,E1, E1-5,Consommation d'énergie et mix énergétique ,39,,Production d'énergie renouvelable,Quelle est la production d'énergie renouvelable ?,,énergie,Conditionnel
E1-5-40,E1, E1-5,Consommation d'énergie et mix énergétique ,40,AR 36,Intensité énergétique des activités dans les secteurs à fort impact climatique (consommation totale d'énergie par revenu net),Quelle est l'intensité énergétique des activités dans les secteurs à fort impact climatique (consommation totale d'énergie par revenu net) ?,,pourcentage,Conditionnel
E1-5-41,E1, E1-5,Consommation d'énergie et mix énergétique ,41,,Consommation totale d'énergie des activités dans les secteurs à fort impact climatique,Quelle est la consommation totale d'énergie des activités dans les secteurs à fort impact climatique ?,,énergie,Conditionnel
E1-5-AR38b-1,E1, E1-5,Consommation d'énergie et mix énergétique ,AR 38b,,Revenu net des activités dans les secteurs à fort impact climatique,Quel est le revenu net des activités dans les secteurs à fort impact climatique ?,,monétaire,Conditionnel
E1-5-AR38b-2,E1, E1-5,Consommation d'énergie et mix énergétique ,AR 38b,,Revenu net des activités autres que dans les secteurs à fort impact climatique,Quel est le revenu net des activités autres que dans les secteurs à fort impact climatique ?,,monétaire,Conditionnel
E1-6-44,E1, E1-6,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",44,AR 39,"Emissions brutes de GES des Scopes 1, 2, 3 et totales - émissions de GES par scope [tableau]","Pouvez-vous fournir un tableau des émissions brutes de GES des Scopes 1, 2, 3 et totales par scope ?",,tableau,
E1-6-50,E1, E1-6 ,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",50,,"Emissions brutes de GES des Scopes 1, 2, 3 et totales - contrôle financier et opérationnel [tableau]","Pouvez-vous fournir un tableau des émissions brutes de GES des Scopes 1, 2, 3 et totales en fonction du contrôle financier et opérationnel ?",,tableau,
E1-6-AR41,E1, E1-6 ,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",AR 41,,"Emissions de GES - par pays, segments opérationnels, activité économique, filiale, catégorie de GES ou type de source","Pouvez-vous fournir les émissions de GES par pays, segments opérationnels, activité économique, filiale, catégorie de GES ou type de source ?",,tableau,
E1-6-AR46d,E1, E1-6 ,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",AR 46 d,,"Emissions brutes de GES des Scopes 1, 2, 3 et totales - émissions de GES du Scope 3 (GHG Protocol) [tableau]","Pouvez-vous fournir un tableau des émissions brutes de GES des Scopes 1, 2, 3 et totales pour le Scope 3 selon le GHG Protocol ?",,tableau,Alternatif
E1-6-AR50,E1, E1-6 ,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",AR 50,,"Emissions brutes de GES des Scopes 1, 2, 3 et totales - émissions de GES du Scope 3 (ISO 14064-1) [tableau]","Pouvez-vous fournir un tableau des émissions brutes de GES des Scopes 1, 2, 3 et totales pour le Scope 3 selon la norme ISO 14064-1 ?",,tableau,Alternatif
E1-6-AR52,E1, E1-6 ,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",AR 52,,"Emissions brutes de GES des Scopes 1, 2, 3 et totales - émissions totales de GES - chaîne de valeur [tableau]","Pouvez-vous fournir un tableau des émissions brutes de GES des Scopes 1, 2, 3 et totales pour les émissions totales de GES dans la chaîne de valeur ?",,tableau,
E1-6-48a,E1,E1-6,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",48 a,AR 43,Emissions brutes de gaz à effet de serre du Scope 1,Pouvez-vous indiquer les émissions brutes de gaz à effet de serre du Scope 1 ?,,tableau/émissions de GES,
E1-6-48b,E1,E1-6,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",48 b,AR 44,Pourcentage des émissions de GES du Scope 1 provenant de systèmes de commerce des émissions réglementés,Quel est le pourcentage des émissions de GES du Scope 1 provenant de systèmes de commerce des émissions réglementés ?,,tableau/pourcentage,
E1-6-49a,E1,E1-6,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",49 a,AR 45,Emissions brutes de gaz à effet de serre du Scope 2 (basées sur la localisation),Pouvez-vous indiquer les émissions brutes de gaz à effet de serre du Scope 2 basées sur la localisation ?,,tableau/émissions de GES,
E1-6-49b,E1,E1-6,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",49 b,AR 45,Emissions brutes de gaz à effet de serre du Scope 2 (basées sur le marché),Pouvez-vous indiquer les émissions brutes de gaz à effet de serre du Scope 2 basées sur le marché ?,,tableau/émissions de GES,
E1-6-51,E1,E1-6,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",51,AR 46,Emissions brutes de gaz à effet de serre du Scope 3,Pouvez-vous indiquer les émissions brutes de gaz à effet de serre du Scope 3 ?,,tableau/émissions de GES,
"E1-6-44,52",E1,E1-6,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",44+52,AR 47,Emissions totales de gaz à effet de serre,Quelles sont vos émissions totales de gaz à effet de serre ?,,tableau/émissions de GES,
"E1-6-44,52a",E1,E1-6,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",44+52a,AR 47,Emissions totales de gaz à effet de serre basées sur la localisation,Pouvez-vous indiquer les émissions totales de gaz à effet de serre basées sur la localisation ?,,tableau/émissions de GES,
"E1-6-44,52b",E1,E1-6,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",44+52b,AR 47,Emissions totales de gaz à effet de serre basées sur le marché,Pouvez-vous indiquer les émissions totales de gaz à effet de serre basées sur le marché ?,,tableau/émissions de GES,
E1-6-52a,E1,E1-6,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",52 a),AR 47,Scope 2 basé sur la localisation,Pouvez-vous indiquer les émissions de gaz à effet de serre du Scope 2 basées sur la localisation ?,,tableau/émissions de GES,
E1-6-52b,E1,E1-6,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",52 b),AR 47,Scope 2 basé sur le marché,Pouvez-vous indiquer les émissions de gaz à effet de serre du Scope 2 basées sur le marché ?,,tableau/émissions de GES,
E1-6-AR43c,E1,E1-6 ,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",AR 43c,,Emissions biogéniques de CO2 provenant de la combustion ou de la biodégradation de la biomasse non incluses dans les émissions de GES du Scope 1,Pouvez-vous indiquer les émissions biogéniques de CO2 provenant de la combustion ou de la biodégradation de la biomasse non incluses dans les émissions de GES du Scope 1 ?,,émissions de GES,
E1-6-AR45d-1,E1,E1-6 ,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",AR 45d,,"Pourcentage des instruments contractuels, émissions de GES du Scope 2",Quel est le pourcentage des instruments contractuels utilisés pour les émissions de GES du Scope 2 ?,,pourcentage,
E1-6-AR45d-2,E1,E1-6 ,"Émissions brutes de GES de périmètres 1,2,3 et émissions totales de GES",AR 45d,,"Divulgation des types d'instruments contractuels, émissions de GES du Scope 2",Pouvez-vous divulguer les types d'instruments contractuels utilisés pour les émissions de GES du Scope 2 ?,,pourcentage,
