Id. ,ESRS,Exigence de publication (DR),Description de l'exigence de publication ,Paragraphe,Related AR,Nom,Question ,Précision des informations qualitatives,Type de données,DP conditionnel ou alternatif
2-BP2-AR2-1,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,AR 2,,Les normes européennes approuvées par le système de normalisation européen (normes ISO/IEC ou CEN/CENELEC) ont été utilisées,Avez-vous utilisé les normes européennes approuvées par le système de normalisation européen (comme les normes ISO/IEC ou CEN/CENELEC) dans votre déclaration de durabilité ?,,semi-narratif,
2-BP2-AR2-2,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,AR 2,,Divulgation de la mesure dans laquelle les données et processus utilisés à des fins de reporting de durabilité ont été vérifiés par un prestataire d'assurance externe et jugés conformes à la norme ISO/IEC ou CEN/CENELEC correspondante,Jusqu'à quel point les données et processus utilisés pour le reporting de durabilité ont-ils été vérifiés par un prestataire d'assurance externe et jugés conformes aux normes ISO/IEC ou CEN/CENELEC ?,,narratif,
2-BP2-16,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,16,,Liste des exigences de divulgation ou des points de données mandatés par une exigence de divulgation,Pouvez-vous fournir une liste des exigences de divulgation ou des points de données mandatés par une exigence de divulgation spécifique ?,,narratif,Conditionnel
2-BP2-17,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,17,,"Les sujets (E4, S1, S2, S3, S4) ont été évalués comme étant matériels","Les sujets (E4, S1, S2, S3, S4) ont-ils été évalués comme étant matériels pour votre entreprise ?",,semi-narratif,Conditionnel
2-BP2-17a-1,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,17 a,,Liste des questions de durabilité évaluées comme matérielles (phase-in),"Pouvez-vous fournir une liste des questions de durabilité qui ont été évaluées comme matérielles, en particulier celles en phase-in ?",,semi-narratif,Conditionnel
2-BP2-17a-2,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,17 a,,Divulgation de la manière dont le modèle économique et la stratégie tiennent compte des impacts liés aux questions de durabilité évaluées comme matérielles (phase-in),Comment votre modèle économique et votre stratégie tiennent-ils compte des impacts liés aux questions de durabilité évaluées comme matérielles ?,,narratif,Conditionnel
2-BP2-17b,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,17 b,,Description de tout objectif à échéance fixé en lien avec les questions de durabilité évaluées comme matérielles (phase-in) et les progrès réalisés pour atteindre ces objectifs,Pouvez-vous décrire tout objectif à échéance fixé en lien avec les questions de durabilité évaluées comme matérielles et les progrès réalisés pour atteindre ces objectifs ?,,narratif,Conditionnel
2-BP2-17c,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,17 c,,Description des politiques liées aux questions de durabilité évaluées comme matérielles (phase-in),Pouvez-vous décrire les politiques mises en place en lien avec les questions de durabilité évaluées comme matérielles ?,,narratif,Conditionnel
2-BP2-17d,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,17 d,,"Description des actions entreprises pour identifier, surveiller, prévenir, atténuer, remédier ou mettre fin aux impacts négatifs réels ou potentiels liés aux questions de durabilité évaluées comme matérielles (phase-in) et résultats de ces actions","Quelles actions votre entreprise a-t-elle entreprises pour identifier, surveiller, prévenir, atténuer, remédier ou mettre fin aux impacts négatifs réels ou potentiels liés aux questions de durabilité évaluées comme matérielles, et quels ont été les résultats de ces actions ?",,narratif,Conditionnel
2-BP2-17e,ESRS 2,BP-2,Publication d'informations relatives à des circonstances particulières,17 e,,Divulgation des métriques liées aux questions de durabilité évaluées comme matérielles (phase-in),Pouvez-vous divulguer les métriques utilisées pour les questions de durabilité évaluées comme matérielles ?,,narratif,Conditionnel
2-GOV1-21b,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",21 b,,Information sur la représentation des salariés et des autres travailleurs ,"Pouvez-vous fournir des informations sur la représentation des employés dans les organes administratifs, de gestion et de supervision ?",,narratif,
2-GOV1-21c,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",21 c,AR 5,"Expérience acquise qui présente un intérêt pour les secteurs, les produits et la situation géographique de l'entreprise ",Pouvez-vous fournir des informations sur l'expérience des membres relative aux questions de durabilité ?,,narratif,
2-GOV1-22a,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",22 a,,"Identité des organes administratifs, de gestion et de surveillance ou des individus au sein de ces organes, responsables de la supervision des impacts, des risques et des opportunités","Pouvez-vous fournir des informations sur l'identité des membres des organes administratifs, de gestion et de supervision ?",,narratif,
2-GOV1-22b,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",22 b,,"Divulgation de la manière dont les responsabilités de chaque organe ou de chaque personne en matière d'incidences, de risques et d'opportunités ressortent dans les mandats de l'entreprise, les missions du conseil d'administrations et les autres politiques",Comment les organes ou individus au sein de l'entreprise sont-ils impliqués dans la gouvernance des questions de durabilité ?,,narratif,
2-GOV1-22c,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",22 c,,"Description du rôle de la direction dans les processus de gouvernance, les contrôles et les procédures utilisés pour surveiller, gérer et superviser les impacts, les risques et les opportunités",Pouvez-vous décrire le rôle de la direction dans la gouvernance des questions de durabilité ?,,narratif,
2-GOV1-22ci,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",22 c i,,Description de la manière dont la supervision est exercée sur la position ou le comité au niveau de la direction auquel le rôle de la direction est délégué,Comment la supervision est-elle exercée sur les questions de durabilité ?,,narratif,
2-GOV1-22cii,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",22 c ii,,"Informations sur les lignes de rapport aux organes administratifs, de gestion et de surveillance","Pouvez-vous fournir des informations sur les lignes de reporting vers les organes administratifs, de gestion et de supervision ?",,narratif,
2-GOV1-22ciii,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",22 c iii,,Divulgation de la manière dont les contrôles et procédures dédiés sont intégrés avec d'autres fonctions internes,Comment les contrôles et procédures dédiés aux questions de durabilité sont-ils intégrés dans la gouvernance globale ?,,narratif,
2-GOV1-22d,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",22 d,,"Divulgation de la manière dont les organes administratifs, de gestion et de surveillance et la haute direction supervisent la définition des objectifs liés aux impacts, risques et opportunités matériels et la manière dont les progrès vers ces objectifs sont suivis","Comment les organes administratifs, de gestion et de supervision sont-ils impliqués dans l'identification, l'évaluation et la gestion des risques et opportunités liés à la durabilité ?",,narratif,
2-GOV1-23,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",23,AR 5,"Divulgation de la manière dont les organes administratifs, de gestion et de surveillance déterminent si les compétences et l'expertise appropriées sont disponibles ou seront développées pour superviser les questions de durabilité","Comment les organes administratifs, de gestion et de supervision sont-ils impliqués dans l'identification, l'évaluation et la gestion des impacts liés à la durabilité ?",,narratif,
2-GOV1-23a,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",23 a,,Informations sur l'expertise en matière de durabilité que les organes possèdent directement ou peuvent utiliser,"Pouvez-vous fournir des informations sur l'expertise liée à la durabilité des membres des organes administratifs, de gestion et de supervision ?",,narratif,
2-GOV1-23b,ESRS 2,GOV-1,"Rôle des organes d'administration, de direction et de surveillance ",23 b,,"Divulgation de la manière dont les compétences et l'expertise en matière de durabilité se rapportent aux impacts, risques et opportunités matériels","Comment les compétences liées à la durabilité sont-elles développées et maintenues par les organes administratifs, de gestion et de supervision ?",,narratif,
2-GOV2-26a,ESRS 2,GOV-2,"Informations transmises aux organes d'administration, de direction et de surveillance de l'entreprise et questions de durabilité traitées par ces organes ",26 a,,"Divulgation de la fréquence, de la personne et de la manière dont les organes administratifs, de gestion et de surveillance sont informés des impacts, risques et opportunités matériels, de la mise en œuvre de la diligence raisonnable et des résultats et de l'efficacité des politiques, actions, métriques et objectifs adoptés pour les traiter","À quelle fréquence, par qui et comment les organes administratifs, de gestion et de surveillance sont-ils informés des impacts, risques, opportunités, diligence raisonnable, et résultats des politiques, actions, métriques et objectifs ?",,narratif,
2-GOV2-26b,ESRS 2,GOV-2,"Informations transmises aux organes d'administration, de direction et de surveillance de l'entreprise et questions de durabilité traitées par ces organes ",26 b,,"Divulgation de la manière dont les organes administratifs, de gestion et de surveillance prennent en compte les impacts, risques et opportunités lors de la supervision de la stratégie, des décisions sur les transactions majeures et du processus de gestion des risques","Comment les organes administratifs, de gestion et de surveillance prennent-ils en compte les impacts, risques et opportunités dans la supervision de la stratégie, des transactions majeures et de la gestion des risques ?",,narratif,
2-GOV2-26c,ESRS 2,GOV-2,"Informations transmises aux organes d'administration, de direction et de surveillance de l'entreprise et questions de durabilité traitées par ces organes ",26 c,,"Divulgation de la liste des impacts, risques et opportunités matériels abordés par les organes administratifs, de gestion et de surveillance ou leurs comités pertinents","Quels impacts, risques et opportunités matériels sont abordés par les organes administratifs, de gestion et de surveillance ou leurs comités ?",,narratif,
2-GOV2-AR6,ESRS 2,GOV-2,"Informations transmises aux organes d'administration, de direction et de surveillance de l'entreprise et questions de durabilité traitées par ces organes ",AR 6,,Divulgation de la manière dont les organes de gouvernance s'assurent que des mécanismes appropriés de suivi des performances sont en place,Comment les organes de gouvernance s'assurent-ils de la présence de mécanismes de suivi des performances ?,,narratif,
2-GOV3-29,ESRS 2,GOV-3,Intégration des résultats en matière de durabilité dans les systèmes d'incitation,29,AR 7,"Les systèmes d'incitation et les politiques de rémunération liés aux questions de durabilité pour les membres des organes administratifs, de gestion et de surveillance existent.","Quels systèmes d'incitation et politiques de rémunération liés à la durabilité existent pour les membres des organes administratifs, de gestion et de surveillance ?",,semi-narratif,
2-GOV3-29a,ESRS 2,GOV-3,Intégration des résultats en matière de durabilité dans les systèmes d'incitation,29 a,,Description des caractéristiques clés des systèmes d'incitation,Quels sont les objectifs spécifiques liés à la durabilité inclus dans vos schémas d'incitation ?,,narratif,
2-GOV3-29b,ESRS 2,GOV-3,Intégration des résultats en matière de durabilité dans les systèmes d'incitation,29 b,,"Description of specific sustainability-related targets and (or) impacts used to assess performance of members of administrative, management and supervisory bodies ",Quels sont les objectifs spécifiques liés à la durabilité inclus dans vos schémas d'incitation ?,,narratif,
2-GOV3-29c,ESRS 2,GOV-3,Intégration des résultats en matière de durabilité dans les systèmes d'incitation,29 c,,Disclosure of how sustainability-related performance metrics are considered as performance benchmarks or included in remuneration policies ,Comment la performance en matière de durabilité influence-t-elle la rémunération des employés ? (Décrivez brièvement le mécanisme),,narratif,
2-GOV3-29e,ESRS 2,GOV-3,Intégration des résultats en matière de durabilité dans les systèmes d'incitation,29 e,,Description of level in undertaking at which terms of incentive schemes are approved and updated ,À quels niveaux de votre entreprise ces schémas d'incitation liés à la durabilité s'appliquent-ils ? (Décrivez les niveaux ou les catégories d'employés concernés),,narratif,
"2-GOV4-30,32",ESRS 2,GOV-4,Déclaration sur la diligence raisonnable ,30; 32,AR 8 - AR 10,Cartographie des informations incluses dans sa déclaration relative à la durabilité concernant la procédure de diligence raisonnable ,"Décrivez comment les informations relatives à la durabilité sont cartographiées et fournies aux organes administratifs, de gestion et de surveillance de votre entreprise. (Expliquez la structure, la fréquence et les types d'informations partagées)",,narratif,
2-GOV5-36a,ESRS 2,GOV-5,Gestion des risques et contrôles intrnes de l'information en matière de durabilité,36 a,AR 11,"Description de la portée, des principales caractéristiques et des composantes du système de gestion des risques","Décrivez la portée, les principales caractéristiques et les composantes du système de gestion des risques de votre entreprise",,narratif,
2-GOV5-36b,ESRS 2,GOV-5,Gestion des risques et contrôles intrnes de l'information en matière de durabilité,36 b,AR 11,Description de l'approche d'évaluation des risques suivie,Quelle approche d'évaluation des risques suivez-vous dans votre entreprise ? (Décrivez brièvement),,narratif,
2-GOV5-36c,ESRS 2,GOV-5,Gestion des risques et contrôles intrnes de l'information en matière de durabilité,36 c,AR 11,Description des principaux risques identifiés et de leur impact potentiel sur l'entreprise,Quels sont les principaux risques identifiés dans votre entreprise et quel est leur impact potentiel ?,,narratif,
2-GOV5-36d,ESRS 2,GOV-5,Gestion des risques et contrôles intrnes de l'information en matière de durabilité,36 d,AR 11,Description de la manière dont les résultats de l'évaluation des risques sont utilisés dans la prise de décision,Comment les résultats de l'évaluation des risques sont-ils utilisés dans la prise de décision au sein de votre entreprise ?,,narratif,
2-GOV5-36e,ESRS 2,GOV-5,Gestion des risques et contrôles intrnes de l'information en matière de durabilité,36 e,AR 11,Description du rapport périodique des résultats de l'évaluation des risques aux organes de gouvernance,Décrivez le processus de rapport périodique des résultats de l'évaluation des risques aux organes de gouvernance de votre entreprise. (Expliquez la fréquence et les méthodes de rapport),,narratif,
2-SBM1-40ai,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 a i,AR 12-13,Description des groupes de produits et (ou) services significatifs offerts,Quels sont les groupes de produits et (ou) services significatifs que vous offrez ?,,narratif,
2-SBM1-40aii,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 a ii,AR 12-13,Description des marchés et (ou) groupes de clients significatifs desservis,Quels sont les marchés et (ou) groupes de clients significatifs que vous desservez ?,,narratif,
2-SBM1-40aiv,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 a iv,AR 12-13,Description des produits et services interdits sur certains marchés,Quels sont les produits et services que vous offrez et qui sont interdits sur certains marchés ?,,narratif,Conditionnel
2-SBM1-40c,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 c,AR 12-13,Liste des secteurs ESRS supplémentaires dans lesquels des activités significatives sont développées ou auxquels l'entreprise est ou peut être liée par des impacts matériels,Quels sont les secteurs ESRS supplémentaires dans lesquels vous développez des activités significatives ou avec lesquels votre entreprise peut être connectée à des impacts matériels ?,,semi-narratif,
2-SBM1-40di-1,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 d i  ,AR 12-13,"Entreprise active dans le secteur des combustibles fossiles (charbon, pétrole et gaz)","Êtes-vous actif dans le secteur des combustibles fossiles (charbon, pétrole et gaz) ?",,semi-narratif,
2-SBM1-40dii-1,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 d ii  ,AR 12-13,Entreprise active dans la production de produits chimiques,Êtes-vous actif dans la production de produits chimiques ?,,semi-narratif,Conditionnel
2-SBM1-40diii-1,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 d iii  ,AR 12-13,Activité dans les armes controversées,Êtes-vous actif dans les armes controversées ?,,semi-narratif,Conditionnel
2-SBM1-40div-1,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 d iv ,AR 12-13,Entreprise active dans la production de tabac,Êtes-vous actif dans la culture et la production de tabac ?,,semi-narratif,Conditionnel
2-SBM1-40e,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 e,AR 12-13,"Description des objectifs liés à la durabilité en termes de groupes de produits et services significatifs, de catégories de clients, de zones géographiques et de relations avec les parties prenantes","Quels sont vos objectifs de durabilité en termes de groupes de produits et services significatifs, de catégories de clients, de zones géographiques et de relations avec les parties prenantes ?",,narratif,
2-SBM1-40f,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 f,AR 12-13,"Divulgation de l'évaluation des produits et (ou) services actuels significatifs, des marchés et des groupes de clients significatifs en relation avec les objectifs de durabilité",Quelle est l'évaluation de vos produits et (ou) services actuels significatifs et de vos marchés et groupes de clients significatifs en relation avec vos objectifs de durabilité ?,,narratif,
2-SBM1-40g,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",40 g,AR 12-13,Divulgation des éléments de stratégie qui concernent ou impactent les questions de durabilité,Quels sont les éléments de votre stratégie qui impactent les questions de durabilité ?,,narratif,
2-SBM1-41,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",41,,Liste des secteurs ESRS significatifs pour l'entreprise,Quels sont les secteurs ESRS significatifs pour votre entreprise ?,,semi-narratif,Conditionnel
2-SBM1-42,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",42,AR 14,Description du modèle économique et de la chaîne de valeur,Décrivez votre modèle économique et votre chaîne de valeur.,,narratif,
2-SBM1-42a,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",42 a,,"Description des intrants et de l'approche pour collecter, développer et sécuriser les intrants","Décrivez les intrants et votre approche pour collecter, développer et sécuriser les intrants.",,narratif,
2-SBM1-42b,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",42 b,,"Description des résultats et des impacts en termes de bénéfices actuels et attendus pour les clients, les investisseurs et les autres parties prenantes","Décrivez les résultats et impacts actuels et attendus pour les clients, les investisseurs et les autres parties prenantes.",,narratif,
2-SBM1-42c,ESRS 2,SBM-1,"Stratégie, modèle économique et chaîne de valeur",42 c,AR 15,Description des principales caractéristiques de la chaîne de valeur en amont et en aval et de la position de l'entreprise dans la chaîne de valeur,"Décrivez les principales caractéristiques de vos relations en amont et en aval dans la chaîne de valeur, ainsi que votre position dans la chaîne de valeur.",,narratif,
2-SBM2-45a,ESRS 2,SBM-2,Intérêts et points de vue des parties intéressées ,45 a,AR 16,Description de l'engagement des parties prenantes,Décrivez l'engagement des parties prenantes.,,narratif,
2-SBM2-45ai,ESRS 2,SBM-2,Intérêts et points de vue des parties intéressées ,45 a i,AR 16,Description des parties prenantes clés,Décrivez les parties prenantes clés.,,narratif,
2-SBM2-45aii,ESRS 2,SBM-2,Intérêts et points de vue des parties intéressées ,45 a ii,AR 16,Description des catégories de parties prenantes pour lesquelles l'engagement a lieu,Décrivez les catégories de parties prenantes pour chaque question de durabilité.,,narratif,
2-SBM2-45aiii,ESRS 2,SBM-2,Intérêts et points de vue des parties intéressées ,45 a iii,AR 16,Description de l'organisation de l'engagement des parties prenantes,Décrivez comment l'engagement des parties prenantes est organisé.,,narratif,
2-SBM2-45aiv,ESRS 2,SBM-2,Intérêts et points de vue des parties intéressées ,45 a iv,AR 16,Description de l'objectif de l'engagement des parties prenantes,Quel est l'objectif de l'engagement des parties prenantes ?,,narratif,
2-SBM2-45av,ESRS 2,SBM-2,Intérêts et points de vue des parties intéressées ,45 a v,AR 16,Description de la prise en compte des résultats de l'engagement des parties prenantes,Comment le résultat de l'engagement des parties prenantes est-il pris en compte ?,,narratif,
2-SBM2-45b,ESRS 2,SBM-2,Intérêts et points de vue des parties intéressées ,45 b,AR 16,Description de la compréhension des intérêts et des points de vue des parties prenantes clés en relation avec la stratégie et le modèle économique de l'entreprise,Décrivez votre compréhension des intérêts et des attentes des parties prenantes.,,narratif,
2-SBM2-45c,ESRS 2,SBM-2,Intérêts et points de vue des parties intéressées ,45 c,,Description des amendements à la stratégie et (ou) au modèle économique,Décrivez les amendements apportés à la stratégie et (ou) au modèle économique suite à l'engagement des parties prenantes.,,narratif,Conditionnel
2-SBM2-45ci,ESRS 2,SBM-2,Intérêts et points de vue des parties intéressées ,45 c i,,Description de la manière dont la stratégie et (ou) le modèle économique ont été ou sont susceptibles d'être modifiés pour répondre aux intérêts et points de vue des parties prenantes,Décrivez comment la stratégie et (ou) le modèle économique ont été adaptés pour aborder les intérêts des parties prenantes ,,narratif,Conditionnel
2-SBM2-45cii,ESRS 2,SBM-2,Intérêts et points de vue des parties intéressées ,45 c ii,,Description des étapes supplémentaires prévues et de leur calendrier,Décrivez les étapes supplémentaires prévues suite à l'engagement des parties prenantes.,,narratif,Conditionnel
2-SBM2-45ciii,ESRS 2,SBM-2,Intérêts et points de vue des parties intéressées ,45 c iii,,Les étapes supplémentaires prévues sont susceptibles de modifier les relations avec et les points de vue des parties prenantes,Les étapes supplémentaires prévues sont-elles susceptibles d'affecter l'entreprise ?,,semi-narratif,Conditionnel
2-SBM2-45d,ESRS 2,SBM-2,Intérêts et points de vue des parties intéressées ,45 d,,"Description de la manière dont les organes administratifs, de gestion et de surveillance sont informés des points de vue et des intérêts des parties prenantes concernées en ce qui concerne les impacts liés à la durabilité","Comment les organes administratifs, de gestion et de surveillance sont-ils informés des résultats de l'engagement des parties prenantes ?",,narratif,
2-SBM3-48a-1,ESRS 2,SBM-3,"Incidences, risques et opportunités importants et leur lien avec la stratégie et le modèle économique ",48 a,,Description des impacts matériels résultant de l'évaluation de la matérialité,Quels sont les impacts matériels des risques et opportunités liés à la durabilité ?,,narratif,
2-SBM3-48a-2,ESRS 2,SBM-3,"Incidences, risques et opportunités importants et leur lien avec la stratégie et le modèle économique ",48 a,,Description des risques et opportunités matériels résultant de l'évaluation de la matérialité,Quels sont les risques et opportunités matériels liés à la durabilité ?,,narratif,
2-SBM3-48b,ESRS 2,SBM-3,"Incidences, risques et opportunités importants et leur lien avec la stratégie et le modèle économique ",48 b,,"Divulgation des effets actuels et anticipés des impacts matériels, des risques et des opportunités sur le modèle économique, la chaîne de valeur, la stratégie et la prise de décision, et comment l'entreprise y a répondu ou prévoit de répondre à ces effets",Quels sont les effets actuels et anticipés de ces risques et opportunités ?,,narratif,
